City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,novokuznetsk,53.7557,87.1099,-3.7,95,21,2.06,RU,1699841671
242,ridgecrest,35.6225,-117.6709,15.79,18,66,1.34,US,1699841483
243,kainantu,-6.2887,145.8655,26.23,43,24,0.32,PG,1699841672
244,san patricio,28.017,-97.5169,17.13,97,100,4.05,US,1699841672
245,acarau,-2.8856,-40.12,26.2,75,0,6.39,BR,1699841672
246,klaksvik,62.2266,-6.589,6.51,77,100,11.5,FO,1699841672
247,robore,-18.3333,-59.75,30.92,46,2,3.47,BO,1699841673
248,chimore,-16.9833,-65.1333,29.84,50,95,0.69,BO,1699841673
249,portland,45.5234,-122.6762,14.49,78,100,7.2,US,1699841534
250,nova vodolaha,49.7185,35.8708,7.46,78,100,7.89,UA,1699841674
251,fang,19.9169,99.2145,24.87,85,67,0.39,TH,1699841674
252,rundu,-17.9333,19.7667,24.51,31,60,1.72,NA,1699841674
253,haiku-pauwela,20.9219,-156.3051,26.01,70,20,10.29,US,1699841675
254,ayabaca,-4.6398,-79.7149,11.88,85,68,0.42,PE,1699841675
255,gaspe,48.8334,-64.4819,-0.88,80,100,4.12,CA,1699841583
256,nelson bay,-32.7167,152.15,21.17,67,88,1.79,AU,1699841675
257,cotonou,6.3654,2.4183,27.99,89,40,4.12,BJ,1699841676
258,chernyshevsk,52.5243,117.0174,-8.3,74,18,1.33,RU,1699841380
259,usinsk,65.9939,57.5281,-14.96,100,95,2.24,RU,1699841676
260,christchurch,-43.5333,172.6333,26.11,34,100,7.72,NZ,1699841480
261,glendive,47.1053,-104.7125,6.77,64,0,2.57,US,1699841677
262,punta arenas,-53.15,-70.9167,8.95,66,100,9.83,CL,1699841677
263,mount pearl,47.5166,-52.7813,-1.03,83,100,5.66,CA,1699841677
264,dickinson,29.4608,-95.0513,18.35,94,100,5.66,US,1699841514
265,melfort,52.8667,-104.6177,1.07,75,2,3.6,CA,1699841678
266,nagqu,31.5,92.0,-10.43,36,3,1.94,CN,1699841678
267,inari,68.906,27.0288,-20.89,100,100,1.36,FI,1699841678
